,State,Year,Deaths,Pop,Percent
118,New York,2001,939,19082838,4.92065E-05
119,New York,2002,802,19137800,4.19066E-05
120,New York,2003,883,19175939,4.60473E-05
121,New York,2004,754,19171567,3.93291E-05
122,New York,2005,846,19132610,4.42177E-05
123,New York,2006,1391,19104631,7.28096E-05
124,New York,2007,1379,19132335,7.20769E-05
125,New York,2008,1473,19212436,7.66691E-05
126,New York,2009,1385,19307066,7.17354E-05
127,New York,2010,1374,19378102,7.09048E-05
128,New York,2011,1733,19523202,8.87662E-05
129,New York,2012,1936,19606981,9.87403E-05
130,New York,2013,2069,19691032,0.000105073
131,New York,2014,2098,19748858,0.000106234
132,New York,2015,2539,19795791,0.00012826
133,Pennsylvania,1999,755,12263805,6.15633E-05
134,Pennsylvania,2000,958,12281054,7.80063E-05
135,Pennsylvania,2001,817,12298970,6.64283E-05
136,Pennsylvania,2002,968,12331031,7.85011E-05
137,Pennsylvania,2003,1208,12374658,9.76189E-05
138,Pennsylvania,2004,1348,12410722,0.000108616
139,Pennsylvania,2005,1438,12449990,0.000115502
140,Pennsylvania,2006,1425,12510809,0.000113902
141,Pennsylvania,2007,1566,12563937,0.000124642
142,Pennsylvania,2008,1656,12612285,0.000131301
143,Pennsylvania,2009,1686,12666858,0.000133103
144,Pennsylvania,2010,1707,12702379,0.000134384
145,Pennsylvania,2011,2080,12745202,0.000163199
146,Pennsylvania,2012,2182,12772789,0.000170832
147,Pennsylvania,2013,2228,12783536,0.000174287
148,Pennsylvania,2014,2560,12793767,0.000200097
149,Pennsylvania,2015,3070,12802503,0.000239797
150,Illinois,1999,733,12359020,5.93089E-05
151,Illinois,2000,788,12419293,6.34497E-05
152,Illinois,2001,767,12488445,6.14168E-05
153,Illinois,2002,860,12525556,6.86596E-05
154,Illinois,2003,741,12556006,5.90156E-05
155,Illinois,2004,913,12589773,7.25192E-05
156,Illinois,2005,970,12609903,7.69237E-05
157,Illinois,2006,1256,12643955,9.9336E-05
158,Illinois,2007,1094,12695866,8.61698E-05
159,Illinois,2008,1208,12747038,9.47671E-05
160,Illinois,2009,1229,12796778,9.60398E-05
161,Illinois,2010,1153,12830632,8.98631E-05
162,Illinois,2011,1282,12861882,9.96744E-05
163,Illinois,2012,1482,12875167,0.000115105
164,Illinois,2013,1430,12889580,0.000110942
