County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,index
Medina County,25.1,25.6,27,27.9,28.2,27.7,28.6,27.7,28.9,29.1,51
Meigs County,25.1,26.1,27.9,29.7,30.1,31.6,33.2,36.2,34.6,34.3,52
Mercer County,24.9,26.1,28,29.2,29.2,27.9,29.1,28.1,28.7,27.9,53
Miami County,25.3,26.1,27,28.4,29.3,30.4,30.9,31.2,31.5,34.1,54
Monroe County,25,25.7,28.4,31,31.3,34,32,34.2,36.1,36.8,55
Montgomery County,26.9,28.6,29.4,30.5,30.1,31.1,30.4,30.3,31,33.3,56
Morgan County,25.2,26.1,28.1,30.3,31.1,35.6,32.2,31.1,33.3,36.7,57
Morrow County,25.1,25.5,28.2,29.8,29.9,30.3,30.9,33.8,36.9,36.9,58
Muskingum County,25.2,25.3,28.2,30.1,29.5,28.9,29.5,32.1,32.5,31.2,59
Noble County,26.1,26.9,28.7,30.5,30.4,33.1,32.1,33.4,32.9,33.5,60
Ottawa County,24.4,25.2,27.5,29.2,30.2,33.7,35,32.6,30.6,30.6,61
Paulding County,25.7,25.8,27.8,29.7,29.9,30.4,29.3,29,29.9,29.9,62
Perry County,25.6,26.3,28,28.8,30.4,33.6,36.7,36.2,35.5,36.3,63
Pickaway County,25.9,25.6,28.2,30.4,30.9,33.6,33,34.9,35.9,34,64
Pike County,24.6,25.1,27.3,29.3,30.1,32.5,32.1,32.4,31.2,35.8,65
Portage County,24.7,25.8,27.2,28.7,28.8,29.7,29.6,28.6,28.5,29,66
Preble County,24.6,25.5,27,28.5,29.2,30.5,32.4,30.6,32.3,29.3,67
Putnam County,23.8,24.4,27.5,29.9,31.1,31.2,29.9,31,33.3,35.2,68
Richland County,24.9,26.1,29,29.3,29,29.7,31.2,33.5,33,32.8,69
Ross County,26.4,26.5,28.5,31.6,32,34.5,34.4,35.8,36.3,33.7,70
Sandusky County,25.3,26.9,28.8,29.7,29.9,32.1,33.9,34.7,32.4,33.5,71
Scioto County,26.3,27.2,30.1,32.4,31.3,33.7,35.5,36.7,36.3,37,72
Seneca County,26,25.8,26.9,28.5,29.2,30.3,30,32.3,34.9,35.1,73
Shelby County,24.6,25.4,27.4,28.5,29.3,30.3,32.1,32.4,32.3,31.8,74
Stark County,26.4,27.2,28.6,30.3,30.8,32.1,31.7,30.9,30.8,30.7,75
Summit County,27.7,28.2,28.5,27.6,28,29,29.2,28,29.2,30.8,76
Trumbull County,26,26.4,27.5,27.9,27.9,29.7,32.5,34.4,33,32.6,77
Tuscarawas County,26.2,27.4,27.8,29.8,29.3,33.9,32.1,35.4,34.6,35,78
Union County,25.9,26.4,28.5,30.1,31.7,34.4,34.2,33.6,32.2,34.2,79
Van Wert County,26.2,26.5,27.9,29.5,30.5,34.9,32.5,35.7,36.7,37.9,80
Vinton County,25.3,26.1,28.5,30.1,30.6,31.3,30.3,30.4,31.3,33.6,81
Warren County,25.1,24.7,25.9,27.2,27.6,26.7,26.2,26.3,28.6,29.9,82
Washington County,24.9,25.7,28,30.1,30.5,33.4,32.2,33,33.2,34.8,83
Wayne County,24.8,25.9,27.8,29.1,30.1,32,30.5,28.8,27.3,30.3,84
Williams County,25.8,25.8,27.2,29.3,29.8,30.7,30,30.9,34.1,35.9,85
Wood County,24.6,25,27.5,29.4,29.6,29.9,29.6,29.1,30.6,30.9,86
Wyandot County,25.8,25.8,27.7,30,30.2,32.7,29.4,34.2,35.2,35.8,87
