State,Year,Deaths,Population,Percent,Rate
Mississippi,2015,323,2992333,0.000107943,10.79
Tennessee,1999,235,5638706,4.17E-05,4.17
Tennessee,2000,281,5689283,4.94E-05,4.94
Tennessee,2001,334,5750789,5.81E-05,5.81
Tennessee,2002,387,5795918,6.68E-05,6.68
Tennessee,2003,494,5847812,8.45E-05,8.45
Tennessee,2004,576,5910809,9.74E-05,9.74
Tennessee,2005,676,5991057,0.000112835,11.28
Tennessee,2006,738,6088766,0.000121207,12.12
Tennessee,2007,798,6175727,0.000129216,12.92
Tennessee,2008,802,6247411,0.000128373,12.84
Tennessee,2009,851,6306019,0.00013495,13.50
Tennessee,2010,974,6346105,0.00015348,15.35
Tennessee,2011,1004,6398408,0.000156914,15.69
Tennessee,2012,1050,6455469,0.000162653,16.27
Tennessee,2013,1067,6496130,0.000164252,16.43
Tennessee,2014,1178,6547779,0.000179908,17.99
Tennessee,2015,1326,6600299,0.0002009,20.09
Arkansas,1999,35,2651860,1.32E-05,1.32
Arkansas,2000,61,2673400,2.28E-05,2.28
Arkansas,2001,52,2691571,1.93E-05,1.93
Arkansas,2002,76,2705927,2.81E-05,2.81
Arkansas,2003,78,2724816,2.86E-05,2.86
Arkansas,2004,106,2749686,3.85E-05,3.85
Arkansas,2005,120,2781097,4.31E-05,4.31
Arkansas,2006,150,2821761,5.32E-05,5.32
Arkansas,2007,162,2848650,5.69E-05,5.69
Arkansas,2008,231,2874554,8.04E-05,8.04
Arkansas,2009,262,2896843,9.04E-05,9.04
Arkansas,2010,257,2915918,8.81E-05,8.81
Arkansas,2011,294,2938538,0.00010005,10.01
Arkansas,2012,291,2949499,9.87E-05,9.87
Arkansas,2013,246,2957957,8.32E-05,8.32
Arkansas,2014,291,2966835,9.81E-05,9.81
Arkansas,2015,303,2978204,0.000101739,10.17
Louisiana,1999,146,4460811,3.27E-05,3.27
Louisiana,2000,187,4468976,4.18E-05,4.18
Louisiana,2001,217,4477875,4.85E-05,4.85
Louisiana,2002,289,4497267,6.43E-05,6.43
Louisiana,2003,414,4521042,9.16E-05,9.16
Louisiana,2004,426,4552238,9.36E-05,9.36
Louisiana,2005,556,4576628,0.000121487,12.15
Louisiana,2006,601,4302665,0.000139681,13.97
Louisiana,2007,672,4375581,0.00015358,15.36
Louisiana,2008,578,4435586,0.00013031,13.03
Louisiana,2009,504,4491648,0.000112208,11.22
Louisiana,2010,519,4533372,0.000114484,11.45
Louisiana,2011,525,4575381,0.000114745,11.47
Louisiana,2012,488,4603676,0.000106002,10.60
Louisiana,2013,733,4627491,0.000158401,15.84
Louisiana,2014,699,4648990,0.000150355,15.04
Louisiana,2015,804,4670724,0.000172136,17.21
Oklahoma,1999,127,3437147,3.69E-05,3.69
Oklahoma,2000,196,3450654,5.68E-05,5.68
Oklahoma,2001,221,3467100,6.37E-05,6.37
Oklahoma,2002,200,3489080,5.73E-05,5.73
Oklahoma,2003,322,3504892,9.19E-05,9.19
Oklahoma,2004,427,3525233,0.000121127,12.11
Oklahoma,2005,400,3548597,0.000112721,11.27
Oklahoma,2006,478,3594090,0.000132996,13.30
Oklahoma,2007,596,3634349,0.000163991,16.40
Oklahoma,2008,522,3668976,0.000142274,14.23
Oklahoma,2009,724,3717572,0.000194751,19.48
Oklahoma,2010,662,3751351,0.00017647,17.65
Oklahoma,2011,643,3786626,0.000169808,16.98
Oklahoma,2012,707,3817679,0.000185191,18.52
Oklahoma,2013,730,3853405,0.000189443,18.94
Oklahoma,2014,721,3879610,0.000185843,18.58
Oklahoma,2015,677,3911338,0.000173087,17.31
Texas,1999,849,20558220,4.13E-05,4.13
Texas,2000,815,20851820,3.91E-05,3.91
Texas,2001,1090,21319622,5.11E-05,5.11
Texas,2002,1257,21690325,5.80E-05,5.80
Texas,2003,1411,22030931,6.40E-05,6.40
Texas,2004,1466,22394023,6.55E-05,6.55
Texas,2005,1595,22778123,7.00E-05,7.00
Texas,2006,1918,23359580,8.21E-05,8.21
Texas,2007,1999,23831983,8.39E-05,8.39
Texas,2008,1845,24309039,7.59E-05,7.59
Texas,2009,2182,24801761,8.80E-05,8.80
Texas,2010,2178,25145561,8.66E-05,8.66
Texas,2011,2333,25654464,9.09E-05,9.09
Texas,2012,2185,26089741,8.37E-05,8.37
Texas,2013,2223,26500674,8.39E-05,8.39
Texas,2014,2343,26979078,8.68E-05,8.68
Texas,2015,2458,27469114,8.95E-05,8.95
Arizona,1999,387,5023823,7.70E-05,7.70
Arizona,2000,424,5130632,8.26E-05,8.26
Arizona,2001,457,5273477,8.67E-05,8.67
Arizona,2002,488,5396255,9.04E-05,9.04
Arizona,2003,532,5510364,9.65E-05,9.65
Arizona,2004,565,5652404,1.00E-04,10.00
Arizona,2005,603,5839077,0.00010327,10.33
Arizona,2006,687,6029141,0.000113947,11.39
Arizona,2007,757,6167681,0.000122737,12.27
Arizona,2008,702,6280362,0.000111777,11.18
Arizona,2009,844,6343154,0.000133057,13.31
Arizona,2010,937,6392017,0.000146589,14.66
Arizona,2011,935,6468732,0.000144541,14.45
Arizona,2012,957,6553262,0.000146034,14.60
Arizona,2013,1063,6630799,0.000160313,16.03
Arizona,2014,1039,6728783,0.000154411,15.44
Arizona,2015,1088,6828065,0.000159342,15.93
Colorado,1999,222,4226018,5.25E-05,5.25
Colorado,2000,252,4301261,5.86E-05,5.86
Colorado,2001,267,4425687,6.03E-05,6.03
Colorado,2002,323,4490406,7.19E-05,7.19
Colorado,2003,348,4528732,7.68E-05,7.68
Colorado,2004,363,4575013,7.93E-05,7.93
Colorado,2005,445,4631888,9.61E-05,9.61
Colorado,2006,467,4720423,9.89E-05,9.89
Colorado,2007,567,4803868,0.00011803,11.80
Colorado,2008,615,4889730,0.000125774,12.58
Colorado,2009,649,4972195,0.000130526,13.05
Colorado,2010,552,5029196,0.000109759,10.98
Colorado,2011,714,5119480,0.000139467,13.95
Colorado,2012,673,5191731,0.000129629,12.96
Colorado,2013,681,5271132,0.000129194,12.92
Colorado,2014,756,5355588,0.000141161,14.12
Colorado,2015,801,5456574,0.000146795,14.68
Idaho,1999,44,1275674,3.45E-05,3.45
Idaho,2000,37,1293953,2.86E-05,2.86
Idaho,2001,64,1319962,4.85E-05,4.85
Idaho,2002,80,1340372,5.97E-05,5.97
Idaho,2003,64,1363380,4.69E-05,4.69
Idaho,2004,73,1391802,5.25E-05,5.25
Idaho,2005,67,1428241,4.69E-05,4.69
Idaho,2006,94,1468669,6.40E-05,6.40
Idaho,2007,99,1505105,6.58E-05,6.58
Idaho,2008,109,1534320,7.10E-05,7.10
Idaho,2009,120,1554439,7.72E-05,7.72
Idaho,2010,130,1567582,8.29E-05,8.29
Idaho,2011,125,1584134,7.89E-05,7.89
Idaho,2012,129,1596097,8.08E-05,8.08
Idaho,2013,155,1612785,9.61E-05,9.61
Idaho,2014,165,1634806,0.000100929,10.09
Idaho,2015,169,1654930,0.000102119,10.21
Montana,1999,21,897507,2.34E-05,2.34
Montana,2000,24,902195,2.66E-05,2.66
Montana,2001,34,906961,3.75E-05,3.75
Montana,2002,43,911667,4.72E-05,4.72
Montana,2003,50,919630,5.44E-05,5.44
Montana,2004,66,930009,7.10E-05,7.10
Montana,2005,59,940102,6.28E-05,6.28
Montana,2006,64,952692,6.72E-05,6.72
Montana,2007,87,964706,9.02E-05,9.02
Montana,2008,114,976415,0.000116754,11.68
Montana,2009,113,983982,0.000114839,11.48
Montana,2010,74,989415,7.48E-05,7.48
Montana,2011,101,997746,0.000101228,10.12
Montana,2012,91,1005157,9.05E-05,9.05
Montana,2013,91,1014402,8.97E-05,8.97
Montana,2014,90,1023252,8.80E-05,8.80
Montana,2015,99,1032949,9.58E-05,9.58
Nevada,1999,145,1934718,7.49E-05,7.49
Nevada,2000,189,1998257,9.46E-05,9.46
Nevada,2001,170,2098399,8.10E-05,8.10
Nevada,2002,208,2173791,9.57E-05,9.57
Nevada,2003,272,2248850,0.000120951,12.10
Nevada,2004,313,2346222,0.000133406,13.34
Nevada,2005,348,2432143,0.000143084,14.31
Nevada,2006,361,2522658,0.000143103,14.31
Nevada,2007,417,2601072,0.000160319,16.03
Nevada,2008,432,2653630,0.000162796,16.28
Nevada,2009,472,2684665,0.000175813,17.58
Nevada,2010,494,2700551,0.000182926,18.29
Nevada,2011,546,2718819,0.000200822,20.08
Nevada,2012,517,2754874,0.000187667,18.77
Nevada,2013,509,2790366,0.000182413,18.24
Nevada,2014,475,2838281,0.000167355,16.74
Nevada,2015,540,2890845,0.000186797,18.68
New Mexico,1999,233,1808082,0.000128866,12.89
New Mexico,2000,235,1819046,0.000129189,12.92
New Mexico,2001,223,1831690,0.000121745,12.17
New Mexico,2002,250,1855309,0.000134748,13.47
New Mexico,2003,327,1877574,0.000174161,17.42
New Mexico,2004,282,1903808,0.000148124,14.81
New Mexico,2005,334,1932274,0.000172853,17.29
New Mexico,2006,347,1962137,0.000176848,17.68
New Mexico,2007,401,1990070,0.0002015,20.15
New Mexico,2008,459,2010662,0.000228283,22.83
New Mexico,2009,419,2036802,0.000205715,20.57
New Mexico,2010,430,2059179,0.000208821,20.88
New Mexico,2011,511,2078226,0.000245883,24.59
New Mexico,2012,472,2084792,0.000226401,22.64
New Mexico,2013,429,2086890,0.000205569,20.56
New Mexico,2014,532,2085567,0.000255087,25.51
New Mexico,2015,480,2085109,0.000230204,23.02
Utah,1999,31,2203482,1.41E-05,1.41
Utah,2000,37,2233169,1.66E-05,1.66
Utah,2001,43,2283715,1.88E-05,1.88
Utah,2002,73,2324815,3.14E-05,3.14
Utah,2003,67,2360137,2.84E-05,2.84
Utah,2004,75,2401580,3.12E-05,3.12
Utah,2005,99,2457719,4.03E-05,4.03
Utah,2006,82,2525507,3.25E-05,3.25
Utah,2007,154,2597746,5.93E-05,5.93
Utah,2008,222,2663029,8.34E-05,8.34
Utah,2009,257,2723421,9.44E-05,9.44
Utah,2010,273,2763885,9.88E-05,9.88
Utah,2011,324,2816440,0.000115039,11.50
Utah,2012,382,2856343,0.000133737,13.37
Utah,2013,394,2903685,0.00013569,13.57
Utah,2014,448,2944498,0.000152148,15.21
Utah,2015,465,2995919,0.000155211,15.52
Wyoming,1999,16,491780,3.25E-05,3.25
Wyoming,2000,22,493782,4.46E-05,4.46
Wyoming,2001,23,494657,4.65E-05,4.65
Wyoming,2002,28,500017,5.60E-05,5.60
Wyoming,2003,25,503453,4.97E-05,4.97
Wyoming,2004,31,509106,6.09E-05,6.09
Wyoming,2005,19,514157,3.70E-05,3.70
Wyoming,2006,33,522667,6.31E-05,6.31
Wyoming,2007,51,534876,9.53E-05,9.53
Wyoming,2008,79,546043,0.000144677,14.47
Wyoming,2009,69,559851,0.000123247,12.32
Wyoming,2010,77,563626,0.000136615,13.66
Wyoming,2011,72,567768,0.000126812,12.68
Wyoming,2012,76,577080,0.000131698,13.17
Wyoming,2013,87,583131,0.000149195,14.92
Wyoming,2014,99,584304,0.000169432,16.94
Wyoming,2015,95,586107,0.000162086,16.21
Alaska,1999,49,624779,7.84E-05,7.84
Alaska,2000,51,626932,8.13E-05,8.13
Alaska,2001,79,633714,0.000124662,12.47
Alaska,2002,77,642337,0.000119875,11.99
Alaska,2003,82,648414,0.000126462,12.65
Alaska,2004,70,659286,0.000106175,10.62
Alaska,2005,65,666946,9.75E-05,9.75
Alaska,2006,77,675302,0.000114023,11.40
Alaska,2007,87,680300,0.000127885,12.79
Alaska,2008,126,687455,0.000183285,18.33
Alaska,2009,135,698895,0.000193162,19.32
Alaska,2010,112,710231,0.000157695,15.77
Alaska,2011,140,722720,0.000193713,19.37
Alaska,2012,133,731228,0.000181886,18.19
Alaska,2013,128,737442,0.000173573,17.36
Alaska,2014,136,737046,0.00018452,18.45
Alaska,2015,135,738432,0.00018282,18.28
California,1999,2248,33499204,6.71E-05,6.71
California,2000,1596,33871648,4.71E-05,4.71
California,2001,1037,34479458,3.01E-05,3.01
California,2002,2408,34871843,6.91E-05,6.91
California,2003,2497,35253159,7.08E-05,7.08
California,2004,2535,35574576,7.13E-05,7.13
California,2005,2642,35827943,7.37E-05,7.37
California,2006,2862,36021202,7.95E-05,7.95
California,2007,3372,36250311,9.30E-05,9.30
California,2008,3384,36604337,9.24E-05,9.24
California,2009,3600,36961229,9.74E-05,9.74
California,2010,3580,37253956,9.61E-05,9.61
California,2011,3727,37700034,9.89E-05,9.89
California,2012,3644,38056055,9.58E-05,9.58
California,2013,4015,38414128,0.000104519,10.45
California,2014,4139,38792291,0.000106696,10.67
California,2015,4376,39144818,0.00011179,11.18
Hawaii,1999,36,1210300,2.97E-05,2.97
Hawaii,2000,31,1211537,2.56E-05,2.56
Hawaii,2001,44,1225948,3.59E-05,3.59
Hawaii,2002,57,1239613,4.60E-05,4.60
Hawaii,2003,66,1251154,5.28E-05,5.28
Hawaii,2004,70,1273569,5.50E-05,5.50
Hawaii,2005,73,1292729,5.65E-05,5.65
Hawaii,2006,63,1309731,4.81E-05,4.81
Hawaii,2007,90,1315675,6.84E-05,6.84
Hawaii,2008,100,1332213,7.51E-05,7.51
Hawaii,2009,101,1346717,7.50E-05,7.50
Hawaii,2010,104,1360301,7.65E-05,7.65
Hawaii,2011,117,1378227,8.49E-05,8.49
Hawaii,2012,99,1392641,7.11E-05,7.11
Hawaii,2013,124,1408765,8.80E-05,8.80
Hawaii,2014,118,1420257,8.31E-05,8.31
Hawaii,2015,143,1431603,9.99E-05,9.99
Oregon,1999,153,3393941,4.51E-05,4.51
Oregon,2000,132,3421399,3.86E-05,3.86
Oregon,2001,151,3467937,4.35E-05,4.35
Oregon,2002,203,3513424,5.78E-05,5.78
Oregon,2003,233,3547376,6.57E-05,6.57
Oregon,2004,233,3569463,6.53E-05,6.53
Oregon,2005,260,3613202,7.20E-05,7.20
Oregon,2006,310,3670883,8.44E-05,8.44
Oregon,2007,373,3722417,0.000100204,10.02
Oregon,2008,393,3768748,0.000104279,10.43
Oregon,2009,400,3808600,0.000105025,10.50
Oregon,2010,388,3831074,0.000101277,10.13
Oregon,2011,434,3868509,0.000112188,11.22
Oregon,2012,382,3899444,9.80E-05,9.80
Oregon,2013,395,3928030,0.000100559,10.06
Oregon,2014,435,3971202,0.000109539,10.95
Oregon,2015,408,4028977,0.000101266,10.13
Washington,1999,413,5842564,7.07E-05,7.07
Washington,2000,424,5894121,7.19E-05,7.19
Washington,2001,379,5985722,6.33E-05,6.33
Washington,2002,498,6052349,8.23E-05,8.23
Washington,2003,549,6104115,8.99E-05,8.99
Washington,2004,636,6178645,0.000102935,10.29
Washington,2005,684,6257305,0.000109312,10.93
Washington,2006,748,6370753,0.000117412,11.74
Washington,2007,810,6461587,0.000125356,12.54
Washington,2008,849,6562231,0.000129377,12.94
Washington,2009,867,6667426,0.000130035,13.00
Washington,2010,754,6724540,0.000112127,11.21
Washington,2011,834,6823229,0.00012223,12.22
Washington,2012,860,6897292,0.000124687,12.47
Washington,2013,875,6973281,0.000125479,12.55
Washington,2014,860,7063166,0.000121758,12.18
Washington,2015,959,7170351,0.000133745,13.37
