Lake	74.36	75.46	76.32	76.73	77.65	78.13	79.08	79.26
Henry	74.97	75.74	76.38	76.77	77.73	78.36	79.28	79.47
Williams	75.29	76.09	76.58	76.86	77.57	78.09	78.91	78.92
Auglaize	75.19	75.82	76.59	76.9	77.7	78.25	79.01	79.16
Fulton	75.43	76.09	76.69	76.91	77.62	78.29	78.92	79.01
Mercer	75.11	76.12	76.58	77.01	77.87	78.31	79.24	79.33
Wood	74.89	75.8	76.59	77.07	77.82	78.63	79.34	79.32
Hancock	75.42	76.26	76.61	77.22	78.01	78.58	79.34	79.46
Holmes	75.83	76.48	77.01	77.34	78.02	78.56	79.26	79.37
Medina	75.36	76.27	76.99	77.46	78.46	79.33	80.13	80.26
Noble	74.83	75.9	76.92	77.52	78.22	79.25	80.69	81.05
Putnam	75.79	76.52	77.17	77.62	78.46	79.06	79.82	80.03
Delaware	74.77	76.08	77.09	77.83	78.81	80.03	81.04	81.43
Geauga	75.78	76.73	77.65	78.24	79.42	80.21	81.3	81.64
