County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Belmont County, OH",39013,2004,Black or African American,2054-5,17,2997,567.2 (Unreliable),1092.3 (Unreliable)
"Belmont County, OH",39013,2004,White,2106-3,912,66859,1364.1,929.6
"Belmont County, OH",39013,2005,Black or African American,2054-5,15,2968,505.4 (Unreliable),1010.1 (Unreliable)
"Belmont County, OH",39013,2005,White,2106-3,888,66862,1328.1,920.6
"Belmont County, OH",39013,2006,Black or African American,2054-5,19,3147,603.7 (Unreliable),1070.0 (Unreliable)
"Belmont County, OH",39013,2006,White,2106-3,848,66962,1266.4,850.5
"Belmont County, OH",39013,2007,Black or African American,2054-5,20,3184,628.1,1179.7
"Belmont County, OH",39013,2007,White,2106-3,883,66864,1320.6,880.6
"Belmont County, OH",39013,2008,Black or African American,2054-5,11,3234,340.1 (Unreliable),644.1 (Unreliable)
"Belmont County, OH",39013,2008,White,2106-3,899,66746,1346.9,900.3
"Belmont County, OH",39013,2009,Black or African American,2054-5,17,3198,531.6 (Unreliable),1028.1 (Unreliable)
"Belmont County, OH",39013,2009,White,2106-3,845,66855,1263.9,851
"Belmont County, OH",39013,2010,Black or African American,2054-5,24,3188,752.8,1457.7
"Belmont County, OH",39013,2010,White,2106-3,926,66820,1385.8,924.5
"Brown County, OH",39015,2000,White,2106-3,363,41696,870.6,960.8
"Brown County, OH",39015,2001,White,2106-3,379,42228,897.5,974.3
"Brown County, OH",39015,2002,White,2106-3,404,42734,945.4,1008
"Brown County, OH",39015,2003,White,2106-3,392,43149,908.5,933.3
"Brown County, OH",39015,2004,White,2106-3,411,43341,948.3,966.9
"Brown County, OH",39015,2005,White,2106-3,456,43503,1048.2,1069.7
"Brown County, OH",39015,2006,Black or African American,2054-5,11,502,2191.2 (Unreliable),2037.7 (Unreliable)
"Brown County, OH",39015,2006,White,2106-3,394,43641,902.8,881.2
"Brown County, OH",39015,2007,White,2106-3,427,43785,975.2,936.1
"Brown County, OH",39015,2008,White,2106-3,471,43972,1071.1,1005.1
"Brown County, OH",39015,2009,White,2106-3,425,44031,965.2,893.2
"Brown County, OH",39015,2010,White,2106-3,451,44150,1021.5,929.4
"Butler County, OH",39017,2000,Black or African American,2054-5,154,18543,830.5,1210.2
"Butler County, OH",39017,2000,White,2106-3,2476,307657,804.8,942.8
"Butler County, OH",39017,2001,Black or African American,2054-5,131,19614,667.9,1009.9
"Butler County, OH",39017,2001,White,2106-3,2547,309912,821.8,948.8
"Butler County, OH",39017,2002,Black or African American,2054-5,133,20735,641.4,990.3
"Butler County, OH",39017,2002,White,2106-3,2640,311343,847.9,964.4
"Butler County, OH",39017,2003,Black or African American,2054-5,144,22041,653.3,1015.2
"Butler County, OH",39017,2003,White,2106-3,2624,313070,838.2,942.4
"Butler County, OH",39017,2004,Black or African American,2054-5,158,23245,679.7,1041.5
"Butler County, OH",39017,2004,White,2106-3,2490,315081,790.3,875.8
"Butler County, OH",39017,2005,Black or African American,2054-5,153,24591,622.2,1024.7
"Butler County, OH",39017,2005,White,2106-3,2573,317155,811.3,884
"Butler County, OH",39017,2006,Black or African American,2054-5,158,25894,610.2,1004
"Butler County, OH",39017,2006,White,2106-3,2588,321203,805.7,855.7
"Butler County, OH",39017,2007,Black or African American,2054-5,170,27258,623.7,1006.7
"Butler County, OH",39017,2007,White,2106-3,2704,323637,835.5,873.4
"Butler County, OH",39017,2008,Black or African American,2054-5,149,28328,526,909.6
"Butler County, OH",39017,2008,White,2106-3,2631,325031,809.5,829.3
"Butler County, OH",39017,2009,Black or African American,2054-5,186,29384,633,1054.4
"Butler County, OH",39017,2009,White,2106-3,2772,326124,850,860.5
"Butler County, OH",39017,2010,Black or African American,2054-5,148,30017,493.1,845.5
"Butler County, OH",39017,2010,White,2106-3,2691,326692,823.7,823
"Carroll County, OH",39019,2000,White,2106-3,259,28498,908.8,861
"Carroll County, OH",39019,2001,White,2106-3,247,28619,863.1,812.8
"Carroll County, OH",39019,2002,White,2106-3,246,28825,853.4,777.5
"Carroll County, OH",39019,2003,White,2106-3,274,28977,945.6,841.4
"Carroll County, OH",39019,2004,White,2106-3,252,28953,870.4,774.1
"Carroll County, OH",39019,2005,White,2106-3,235,28771,816.8,721.3
"Carroll County, OH",39019,2006,White,2106-3,262,28810,909.4,777.2
